Date,Close
10/8/12,42.4
13/8/12,42.09
14/8/12,42.18
15/8/12,42.44
16/8/12,42.75
17/8/12,42.72
20/8/12,42.69
21/8/12,42.4
22/8/12,42.64
23/8/12,42.25
24/8/12,42.19
27/8/12,42.2
28/8/12,42.18
29/8/12,41.97
30/8/12,41.91
31/8/12,42.06
4/9/12,41.63
5/9/12,40.36
6/9/12,41.18
7/9/12,41.93
10/9/12,42.04
11/9/12,42.57
12/9/12,42.58
13/9/12,43.62
14/9/12,43.86
17/9/12,43.27
18/9/12,42.87
19/9/12,43.09
20/9/12,43.29
21/9/12,43
24/9/12,43.26
25/9/12,43.01
26/9/12,42.37
27/9/12,43.04
28/9/12,42.36
1/10/12,42.22
2/10/12,42.71
3/10/12,42.25
4/10/12,42.57
5/10/12,42.15
8/10/12,42.26
